Player,Team,S/C,Pos,GP,G,A,+/-,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI/GP,FOW%
Yanni Gourde,TBL,L,C,70,10,20,-5,49,7,21,1,6,2,3,1,5,110,14:04,54.1
Zach Sanford,STL,L,L,58,16,14,13,28,15,29,1,1,0,0,0,3,90,13:44,11.1
Seth Jones,CBJ,R,D,56,6,24,10,20,4,20,2,9,0,1,0,0,126,25:17:00,--
Warren Foegele,CAR,L,L,68,13,17,9,34,10,27,0,0,3,3,0,1,129,13:43,47.4
Tyler Bozak,STL,R,C,67,13,16,0,10,10,24,2,4,1,1,0,2,109,15:19,55
Cam Fowler,ANA,L,D,59,9,20,0,20,7,21,2,8,0,0,0,2,117,21:59,--
Nino Niederreiter,CAR,L,R,67,11,18,-3,42,7,18,4,11,0,0,0,2,115,14:49,25
Jesper Fast,NYR,R,R,69,12,17,16,20,10,27,0,0,2,2,0,1,84,16:36,34.6
Ryan Dzingel,CAR,L,C,64,8,21,3,30,4,20,4,9,0,0,0,1,98,14:09,31
Erik Gustafsson,CHI,L,D,66,6,23,-9,27,4,20,2,9,0,0,0,0,103,20:23,--
Jack Roslovic,WPG,R,C,71,12,17,4,12,11,27,1,2,0,0,0,0,117,14:54,47.3
Joel Eriksson Ek,MIN,L,C,62,8,21,7,22,7,27,1,1,0,1,0,4,102,15:43,46.2
Denis Gurianov,DAL,L,R,64,20,9,5,13,13,17,7,12,0,0,0,4,132,12:59,--
Derek Ryan,CGY,R,C,68,10,19,9,10,8,23,1,4,1,2,0,0,102,14:33,52.3
Derek Stepan,ARI,R,C,70,10,18,-4,16,8,20,1,7,1,1,1,2,158,17:39,47.5
Jonas Brodin,MIN,L,D,69,2,26,15,24,2,25,0,1,0,2,0,0,103,21:33,--
Colton Parayko,STL,R,D,64,10,18,8,16,7,22,3,5,0,1,1,1,162,23:00,--
Alexander Kerfoot,TOR,L,C,65,9,19,-2,32,8,25,1,3,0,0,0,1,88,14:46,46.9
Devon Toews,NYI,L,D,68,6,22,1,16,5,22,1,6,0,0,1,1,122,20:31,--
Viktor Arvidsson,NSH,R,L,57,15,13,-4,26,11,20,4,8,0,0,0,1,127,16:12,57.9
Jordan Greenway,MIN,L,L,67,8,20,2,54,8,25,0,3,0,0,0,1,93,14:10,55.6
Duncan Keith,CHI,L,D,61,3,24,1,18,1,16,2,11,0,0,0,0,111,24:23:00,--
Jeff Carter,LAK,R,C,60,17,10,-21,36,14,22,3,5,0,0,1,7,182,16:56,51.2
Jordan Staal,CAR,L,C,68,8,19,3,40,6,24,2,3,0,0,0,0,125,17:30,54.4
Dmitry Orlov,WSH,L,D,69,4,23,5,36,3,21,1,5,0,1,1,2,105,22:10,--
Morgan Rielly,TOR,L,D,47,3,24,6,24,3,20,0,7,0,0,1,2,123,24:12:00,0
Scott Laughton,PHI,L,C,49,13,14,13,26,13,27,0,0,0,0,0,2,74,14:36,53.9
Jacob Trouba,NYR,R,D,70,7,20,-12,61,3,17,4,8,0,2,0,1,168,22:34,--
Artturi Lehkonen,MTL,L,L,70,13,14,2,24,12,26,0,0,1,1,0,1,140,15:26,46.2
Valeri Nichushkin,COL,L,R,65,13,14,26,14,11,25,1,1,1,1,0,3,113,14:04,40
Noel Acciari,FLA,R,C,66,20,7,2,21,19,26,0,0,1,1,0,5,108,15:58,48
Ilya Kovalchuk,LAK,R,L,46,10,16,-4,18,8,21,2,5,0,0,2,3,115,16:58,33.3
Ian Cole,COL,L,D,65,4,22,21,36,4,26,0,0,0,0,0,1,92,17:42,--
Cam Atkinson,CBJ,R,R,44,12,14,2,6,9,18,3,8,0,0,1,2,148,17:51,47.4
Barclay Goodrow,SJS,L,C,70,8,18,-8,97,8,23,0,2,0,1,0,2,102,15:55,49.2
Chandler Stephenson,WSH,L,C,65,11,15,24,16,8,21,1,2,2,3,1,5,73,14:19,45.3
Andreas Athanasiou,DET,L,C,55,11,15,-46,30,8,19,3,7,0,0,0,2,129,15:51,41.8
Andrew Copp,WPG,L,C,63,10,16,-3,10,9,22,1,1,0,3,0,5,121,17:42,53
Ryan Graves,COL,L,D,69,9,17,40,45,9,24,0,0,0,2,0,0,134,18:57,--
Ivan Barbashev,STL,L,C,69,11,15,4,23,9,23,0,0,2,3,0,2,75,13:27,45.4
Danton Heinen,BOS,L,L,67,10,16,-2,10,7,20,3,6,0,0,0,2,109,14:28,38.5
John Marino,PIT,R,D,56,6,20,17,20,5,22,1,4,0,0,0,0,61,20:15,--
Jakob Chychrun,ARI,L,D,63,12,14,4,38,7,18,5,8,0,0,0,2,149,22:26,--
Alex Nylander,CHI,R,L,65,10,16,-2,10,10,24,0,2,0,0,0,1,94,12:08,26.3
Kailer Yamamoto,EDM,R,R,27,11,15,17,12,9,24,2,2,0,0,0,0,44,17:23,100
Jason Spezza,TOR,R,C,58,9,16,-3,18,7,18,2,7,0,0,0,0,73,10:50,54
