Player,Team,S/C,Pos,GP,G,A,+/-,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI/GP,FOW%
Zach Trotman,PIT,R,D,8,0,0,-1,4,0,0,0,0,0,0,0,0,11,14:43,--
Michael Sgarbossa,WSH,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8:07,50
Brian Gibbons,CAR,L,C,15,0,0,-7,4,0,0,0,0,0,0,0,0,9,9:46,--
Steven Fogarty,NYR,R,C,7,0,0,-1,0,0,0,0,0,0,0,0,0,2,5:53,66.7
Derrick Pouliot,STL,L,D,2,0,0,-1,2,0,0,0,0,0,0,0,0,1,8:20,--
Boo Nieves,NYR,L,C,4,0,0,2,4,0,0,0,0,0,0,0,0,2,7:32,73.7
Trevor Carrick,SJS,L,D,3,0,0,0,5,0,0,0,0,0,0,0,0,1,5:47,--
Thomas Di Pauli,PIT,L,C,2,0,0,-3,10,0,0,0,0,0,0,0,0,2,5:59,--
Jake Bischoff,VGK,L,D,4,0,0,-2,4,0,0,0,0,0,0,0,0,6,15:36,--
Riley Barber,MTL,R,R,9,0,0,-1,2,0,0,0,0,0,0,0,0,6,8:15,100
Ashton Sautner,VAN,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2:49,--
Jayson Megna,COL,R,C,8,0,0,-1,2,0,0,0,0,0,0,0,0,4,6:43,0
Anton Blidh,BOS,L,L,7,0,0,-1,0,0,0,0,0,0,0,0,0,9,11:31,0
John Gilmour,BUF,L,D,4,0,0,-2,0,0,0,0,0,0,0,0,0,5,17:03,--
Tyler Lewington,WSH,R,D,6,0,0,-2,17,0,0,0,0,0,0,0,0,2,10:10,--
Luke Johnson,MIN,R,C,3,0,0,-3,0,0,0,0,0,0,0,0,0,1,11:35,50
Marko Dano,CBJ,L,C,3,0,0,-1,2,0,0,0,0,0,0,0,0,2,7:10,--
Steven Santini,NSH,R,D,2,0,0,1,2,0,0,0,0,0,0,0,0,1,9:33,--
Gustav Olofsson,MTL,L,D,3,0,0,-4,2,0,0,0,0,0,0,0,0,2,8:06,--
Justin Bailey,VAN,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5:20,--
Samuel Morin,PHI,L,L,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,12:32,--
Jean-Sebastien Dea,BUF,R,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7:38,50
Nikolay Goldobin,VAN,L,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8:37,--
John Quenneville,CHI,L,C,9,0,0,-1,0,0,0,0,0,0,0,0,0,14,11:03,75
Josh Jacobs,NJD,R,D,2,0,0,1,2,0,0,0,0,0,0,0,0,3,16:36,--
Jake Walman,STL,L,D,1,0,0,1,0,0,0,0,0,0,0,0,0,1,11:04,--
William Lagesson,EDM,L,D,8,0,0,-4,0,0,0,0,0,0,0,0,0,8,11:52,--
Chase De Leo,ANA,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14:59,0
Austin Poganski,STL,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5:54,--
CJ Suess,WPG,L,L,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,6:26,25
Anthony Richard,NSH,L,C,1,0,0,-1,0,0,0,0,0,0,0,0,0,2,4:10,--
Evgeny Svechnikov,DET,L,L,4,0,0,-1,2,0,0,0,0,0,0,0,0,7,8:20,--
Keegan Kolesar,VGK,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12:06,100
Gabriel Carlsson,CBJ,L,D,6,0,0,-1,2,0,0,0,0,0,0,0,0,3,10:53,--
Colton White,NJD,L,D,6,0,0,-2,4,0,0,0,0,0,0,0,0,2,13:59,--
Christian Wolanin,OTT,L,D,3,0,0,1,0,0,0,0,0,0,0,0,0,4,17:41,--
Alexandre Carrier,NSH,R,D,3,0,0,2,2,0,0,0,0,0,0,0,0,4,10:47,--
Brett Seney,NJD,L,L,2,0,0,-1,0,0,0,0,0,0,0,0,0,1,9:56,0
Cameron Hughes,BOS,L,C,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,9:53,--
Kole Sherwood,CBJ,R,R,3,0,0,0,2,0,0,0,0,0,0,0,0,6,6:38,0
Maxime Lajoie,OTT,L,D,6,0,0,0,0,0,0,0,0,0,0,0,0,3,7:49,--
Kale Clague,LAK,L,D,4,0,0,-3,2,0,0,0,0,0,0,0,0,2,14:34,--
Beck Malenstyn,WSH,L,L,3,0,0,-1,0,0,0,0,0,0,0,0,0,4,9:16,--
Trent Frederic,BOS,L,C,2,0,0,-1,0,0,0,0,0,0,0,0,0,1,6:26,--
Henrik Borgstrom,FLA,L,C,4,0,0,-2,2,0,0,0,0,0,0,0,0,3,12:23,48.2
Tage Thompson,BUF,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6:59,--
German Rubtsov,PHI,L,C,4,0,0,-1,0,0,0,0,0,0,0,0,0,1,6:48,42.9
Janne Kuokkanen,NJD,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12:04,--
Otto Koivula,NYI,L,L,12,0,0,0,2,0,0,0,0,0,0,0,0,4,7:55,36.9
Brandon Hagel,CHI,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11:48,--
Calvin Thurkauf,CBJ,L,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,8:15,100
Joachim Blichfeld,SJS,R,R,3,0,0,-2,2,0,0,0,0,0,0,0,0,3,12:46,--
Rhett Gardner,DAL,L,C,8,0,0,0,2,0,0,0,0,0,0,0,0,8,10:08,47.2
Brennan Menell,MIN,R,D,5,0,0,1,2,0,0,0,0,0,0,0,0,4,13:59,--
Conor Timmins,COL,R,D,2,0,0,2,0,0,0,0,0,0,0,0,0,1,10:25,--
Jaret Anderson-Dolan,LAK,L,C,4,0,0,-1,0,0,0,0,0,0,0,0,0,2,10:16,38.5
Urho Vaakanainen,BOS,L,D,5,0,0,2,0,0,0,0,0,0,0,0,0,2,16:51,--
Josh Norris,OTT,L,C,3,0,0,2,0,0,0,0,0,0,0,0,0,9,17:55,61.2
Max Veronneau,OTT,R,R,4,0,0,-2,0,0,0,0,0,0,0,0,0,3,8:25,--
Sheldon Dries,COL,L,C,5,0,0,-2,0,0,0,0,0,0,0,0,0,2,6:52,66.7
Lukas Radil,SJS,R,C,14,0,0,-3,8,0,0,0,0,0,0,0,0,12,9:24,25
Oliver Wahlstrom,NYI,R,R,9,0,0,-2,4,0,0,0,0,0,0,0,0,9,10:17,0
Nicolas Beaudin,CHI,L,D,1,0,0,1,0,0,0,0,0,0,0,0,0,2,17:01,--
Lawrence Pilut,BUF,L,D,13,0,0,-4,4,0,0,0,0,0,0,0,0,6,16:14,--
Otto Leskinen,MTL,L,D,5,0,0,0,0,0,0,0,0,0,0,0,0,2,10:18,--
Danil Yurtaykin,SJS,R,L,4,0,0,-1,0,0,0,0,0,0,0,0,0,2,13:00,--
Tobias Bjornfot,LAK,L,D,3,0,0,-4,0,0,0,0,0,0,0,0,0,0,12:58,--
Alexander Yelesin,CGY,R,D,4,0,0,0,0,0,0,0,0,0,0,0,0,2,12:30,--
Anton Wedin,CHI,L,L,4,0,0,1,4,0,0,0,0,0,0,0,0,2,9:04,--
Andrei Chibisov,WPG,L,R,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7:27,--
Joona Luoto,WPG,L,L,16,0,0,-3,2,0,0,0,0,0,0,0,0,9,6:35,--
Nikolai Knyzhov,SJS,L,D,3,0,0,-1,2,0,0,0,0,0,0,0,0,0,10:49,--
